Unique ID,Name
1,Abbey Wood
2,Acton Central
3,Acton Main Line
4,Acton Town
5,Albany Park
6,Aldgate
7,Aldgate East
8,Alexandra Palace
9,All Saints
10,Alperton
11,Amersham
12,Anerley
13,Angel
14,Angel Road
15,Archway
16,Arnos Grove
17,Arsenal
18,Baker Street
19,Balham
20,Bank
21,Banstead
22,Barbican
23,Barking
24,Barkingside
25,Barnehurst
26,Barnes
27,Barnes Bridge
28,Barons Court
29,Battersea Park
30,Bayswater
31,Beckenham Hill
32,Beckenham Junction
33,Beckton
34,Beckton Park
35,Becontree
36,Bellingham
37,Belmont
38,Belsize Park
39,Belvedere
40,Bermondsey
41,Berrylands
42,Bethnal Green (Train)
43,Bethnal Green (Tube)
44,Bexley
45,Bexleyheath
46,Bickley
47,Birkbeck
48,Blackfriars
49,Blackheath
50,Blackhorse Road
51,Blackwall
52,Bond Street
53,Borough
54,Boston Manor
55,Bounds Green
56,Bow Church
57,Bow Road
58,Bowes Park
59,Brent Cross
60,Brentford
61,Brimsdown
62,Brixton
63,Brockley
64,Bromley North
65,Bromley South
66,Bromley-by-Bow
67,Brondesbury
68,Brondesbury Park
69,Bruce Grove
70,Buckhurst Hill
71,Burnt Oak
72,Bush Hill Park
73,Bushey
74,Caledonian Road
75,Caledonian Road & Barnsbury
76,Cambridge Heath
77,Camden Road
78,Camden Town
79,Canada Water
80,Canary Wharf
81,Canning Town
82,Cannon Street
83,Canonbury
84,Canons Park
85,Carpenders Park
86,Carshalton
87,Carshalton Beeches
88,Castle Bar Park
89,Caterham
90,Catford
91,Catford Bridge
92,Chadwell Heath
93,Chafford Hundred
94,Chalfont & Latimer
95,Chalk Farm
96,Chancery Lane
97,Charing Cross
98,Charlton
99,Cheam
100,Chelsfield
101,Chesham
102,Chessington North
103,Chessington South
104,Chigwell
105,Chingford
106,Chipstead
107,Chislehurst
108,Chiswick
109,Chiswick Park
110,Chorleywood
111,City Thameslink
112,Clapham Common
113,Clapham High Street
114,Clapham Junction
115,Clapham North
116,Clapham South
117,Clapton
118,Clock House
119,Cockfosters
120,Colindale
121,Colliers Wood
122,Coulsdon South
123,Covent Garden
124,Crayford
125,Crews Hill
126,Cricklewood
127,Crofton Park
128,Crossharbour
129,Crouch Hill
130,Croxley
131,Crystal Palace
132,Custom House for ExCel
133,Cutty Sark for Maritime Greenwich
134,Cyprus
135,Dagenham Dock
136,Dagenham East
137,Dagenham Heathway
138,Dalston Kingsland
139,Debden
140,Denmark Hill
141,Deptford
142,Deptford Bridge
143,Devons Road
144,Dollis Hill
145,Drayton Green
146,Drayton Park
147,Ealing Broadway
148,Ealing Common
149,Earl's Court
150,Earlsfield
151,East Acton
152,East Croydon
153,East Dulwich
154,East Finchley
155,East Ham
156,East India
157,East Putney
158,Eastcote
159,Eden Park
160,Edgware
161,Edgware Road
162,Edmonton Green
163,Elephant & Castle
164,Elm Park
165,Elmers End
166,Elmstead Woods
167,Elstree & Borehamwood
168,Eltham
169,Elverson Road
170,Embankment
171,Emerson Park
172,Enfield Chase
173,Enfield Lock
174,Enfield Town
175,Epping
176,Epsom Downs
177,Erith
178,Essex Road
179,Euston
180,Euston Square
181,Ewell East
182,Ewell West
183,Fairlop
184,Falconwood
185,Farringdon
186,Feltham
187,Fenchurch Street
188,Finchley Central
189,Finchley Road
190,Finchley Road & Frognal
191,Finsbury Park
192,Forest Gate
193,Forest Hill
194,Fulham Broadway
195,Fulwell
196,Gallions Reach
197,Gants Hill
198,Gidea Park
199,Gipsy Hill
200,Gloucester Road
201,Golders Green
202,Goldhawk Road
203,Goodge Street
204,Goodmayes
205,Gordon Hill
206,Gospel Oak
207,Grange Hill
208,Grange Park
209,Grays
210,Great Portland Street
211,Green Park
212,Greenford
213,Greenwich
214,Grove Park
215,Gunnersbury
216,Hackbridge
217,Hackney Central
218,Hackney Downs
219,Hackney Wick
220,Hadley Wood
221,Hainault
222,Hammersmith
223,Hampstead
224,Hampstead Heath
225,Hampton
226,Hampton Court
227,Hampton Wick
228,Hanwell
229,Harlesden
230,Harold Wood
231,Harringay
232,Harringay Green Lanes
233,Harrow & Wealdstone
234,Harrow-on-the-Hill
235,Hatch End
236,Hatton Cross
237,Haydons Road
238,Hayes
239,Hayes & Harlington
240,Headstone Lane
241,Heathrow Terminal 4
242,Heathrow Terminal 5
243,"Heathrow Terminals 1, 2, 3"
244,Hendon
245,Hendon Central
246,Herne Hill
247,Heron Quays
248,High Barnet
249,High Street Kensington
250,Highams Park
251,Highbury & Islington
252,Highgate
253,Hillingdon
254,Hither Green
255,Holborn
256,Holland Park
257,Holloway Road
258,Homerton
259,Honor Oak Park
260,Hornchurch
261,Hornsey
262,Hounslow
263,Hounslow Central
264,Hounslow East
265,Hounslow West
266,Hyde Park Corner
267,Ickenham
268,Ilford
269,Imperial Wharf
270,Island Gardens
271,Isleworth
272,Kenley
273,Kennington
274,Kensal Green
275,Kensal Rise
276,Kensington Olympia
277,Kent House
278,Kentish Town
279,Kentish Town West
280,Kenton
281,Kew Bridge
282,Kew Gardens
283,Kidbrooke
284,Kilburn
285,Kilburn High Road
286,Kilburn Park
287,King George V
288,King's Cross
289,King's Cross St. Pancras
290,Kingsbury
291,Kingston
292,Kingswood
293,Knightsbridge
294,Knockholt
295,Ladbroke Grove
296,Ladywell
297,Lambeth North
298,Lancaster Gate
299,Langdon Park
300,Latimer Road
301,Lee
302,Leicester Square
303,Lewisham
304,Leyton
305,Leyton Midland Road
306,Leytonstone
307,Leytonstone High Road
308,Limehouse
309,Liverpool Street
310,London Bridge
311,London City Airport
312,London Fields
313,Loughborough Junction
314,Loughton
315,Lower Sydenham
316,Maida Vale
317,Malden Manor
318,Manor House
319,Manor Park
320,Mansion House
321,Marble Arch
322,Maryland
323,Marylebone
324,Maze Hill
325,Mile End
326,Mill Hill Broadway
327,Mill Hill East
328,Mitcham Eastfields
329,Mitcham Junction
330,Monument
331,Moor Park
332,Moorgate
333,Morden
334,Morden South
335,Mornington Crescent
336,Mortlake
337,Motspur Park
338,Mottingham
339,Mudchute
340,Name
341,Neasden
342,New Barnet
343,New Beckenham
344,New Cross
345,New Cross Gate
346,New Eltham
347,New Malden
348,New Southgate
349,Newbury Park
350,Norbiton
351,Norbury
352,North Acton
353,North Dulwich
354,North Ealing
355,North Greenwich
356,North Harrow
357,North Sheen
358,North Wembley
359,Northfields
360,Northolt
361,Northolt Park
362,Northumberland Park
363,Northwick Park
364,Northwood
365,Northwood Hills
366,Norwood Junction
367,Notting Hill Gate
368,Nunhead
369,Oakleigh Park
370,Oakwood
371,Ockendon
372,Old Street
373,Orpington
374,Osterley
375,Oval
376,Oxford Circus
377,Paddington
378,Palmers Green
379,Park Royal
380,Parsons Green
381,Peckham Rye
382,Penge East
383,Penge West
384,Perivale Hanger Lane
385,Petts Wood
386,Piccadilly Circus
387,Pimlico
388,Pinner
389,Plaistow
390,Plumstead
391,Ponders End
392,Pontoon Dock
393,Poplar
394,Preston Road
395,Prince Regent
396,Pudding Mill Lane
397,Purfleet
398,Purley
399,Purley Oaks
400,Putney
401,Putney Bridge
402,Queen's Park
403,Queens Road Peckham
404,Queensbury
405,Queenstown Road
406,Queensway
407,Rainham
408,Ravensbourne
409,Ravenscourt Park
410,Rayners Lane
411,Raynes Park
412,Rectory Road
413,Redbridge
414,Reedham
415,Regent's Park
416,Richmond
417,Rickmansworth
418,Riddlesdown
419,Roding Valley
420,Romford
421,Royal Albert
422,Royal Oak
423,Royal Victoria
424,Ruislip
425,Ruislip Gardens
426,Ruislip Manor
427,Russell Square
428,Sanderstead
429,Selhurst
430,Seven Kings
431,Seven Sisters
432,Shadwell
433,Shepherd's Bush
434,Shepherd's Bush Market
435,Shortlands
436,Sidcup
437,Silver Street
438,Slade Green
439,Sloane Square
440,Smitham
441,Snaresbrook
442,South Acton
443,South Bermondsey
444,South Croydon
445,South Ealing
446,South Greenford
447,South Hampstead
448,South Harrow
449,South Kensington
450,South Kenton
451,South Merton
452,South Quay
453,South Ruislip
454,South Tottenham
455,South Wimbledon
456,South Woodford
457,Southall
458,Southbury
459,Southfields
460,Southgate
461,Southwark
462,St. Helier
463,St. James Street
464,St. John's Wood
465,St. Johns
466,St. Mary Cray
467,St. Pancras International
468,St. Paul's
469,St. James's Park
470,St. Margarets
471,Stamford Brook
472,Stamford Hill
473,Stanmore
474,Stepney Green
475,Stockwell
476,Stoke Newington
477,Stonebridge Park
478,Stoneleigh
479,Stratford
480,Strawberry Hill
481,Streatham
482,Streatham Common
483,Streatham Hill
484,Sudbury & Harrow Road
485,Sudbury Hill
486,Sudbury Hill Harrow
487,Sudbury Town
488,Sundridge Park
489,Surbiton
490,Sutton
491,Sutton Common
492,Swiss Cottage
493,Sydenham
494,Sydenham Hill
495,Syon Lane
496,Tadworth
497,Tattenham Corner
498,Teddington
499,Temple
500,Thames Ditton
501,Theydon Bois
502,Thornton Heath
503,Tolworth
504,Tooting
505,Tooting Bec
506,Tooting Broadway
507,Tottenham Court Road
508,Tottenham Hale
509,Totteridge & Whetstone
510,Tower Gateway
511,Tower Hill
512,Tufnell Park
513,Tulse Hill
514,Turkey Street
515,Turnham Green
516,Turnpike Lane
517,Twickenham
518,Upminster
519,Upminster Bridge
520,Upney
521,Upper Holloway
522,Upper Warlingham
523,Upton Park
524,Uxbridge
525,Vauxhall
526,Victoria
527,Waddon
528,Wallington
529,Walthamstow Central
530,Walthamstow Queens Road
531,Wandsworth Common
532,Wandsworth Road
533,Wandsworth Town
534,Wanstead
535,Wanstead Park
536,Warren Street
537,Warwick Avenue
538,Waterloo
539,Waterloo East
540,Watford
541,Watford High Street
542,Watford Junction
543,Welling
544,Wembley Central
545,Wembley Park
546,Wembley Stadium
547,West Acton
548,West Brompton
549,West Croydon
550,West Drayton
551,West Dulwich
552,West Ealing
553,West Finchley
554,West Ham
555,West Hampstead
556,West Harrow
